KEGG pathway	Protein accession	KEGG KO No.	T4/S Ratio	Regulated Type
map04141 Protein processing in endoplasmic reticulum	Prkcsh	K08288	1.5244681412658998	Up
map04141 Protein processing in endoplasmic reticulum	Hsp90aa1	K04079	1.74697314743516	Up
map04141 Protein processing in endoplasmic reticulum	Pdia4	K09582	1.95525431861804	Up
map04141 Protein processing in endoplasmic reticulum	P4hb	K09580	1.8937964610723899	Up
map04141 Protein processing in endoplasmic reticulum	Pdia3	K08056	1.5416832558596498	Up
map04141 Protein processing in endoplasmic reticulum	Stt3a	K07151	1.8873878159388602	Up
map04141 Protein processing in endoplasmic reticulum	Erp29	K09586	1.53893814929267	Up
map04141 Protein processing in endoplasmic reticulum	Sec61g	K07342	1.7797152838558603	Up
map04141 Protein processing in endoplasmic reticulum	Dnaja1	K09502	2.08894528884146	Up
map04141 Protein processing in endoplasmic reticulum	Sec31a	K14005	1.57385914249453	Up
map04141 Protein processing in endoplasmic reticulum	Hsph1	K09485	1.50766007594605	Up
map04141 Protein processing in endoplasmic reticulum	Uggt1	K11718	1.6631404365951001	Up
map04141 Protein processing in endoplasmic reticulum	Mogs	K01228	2.25762173096373	Up
map04141 Protein processing in endoplasmic reticulum	Ckap4	K13999	2.1971369646973202	Up
map04141 Protein processing in endoplasmic reticulum	Ero1a	K10950	2.4636300020256696	Up
map04141 Protein processing in endoplasmic reticulum	Txndc5	K13984	1.9297678142513999	Up
map04141 Protein processing in endoplasmic reticulum	Bag2	K09556	1.52461668752291	Up
map04141 Protein processing in endoplasmic reticulum	Rrbp1	K14000	1.63242456193202	Up
map04141 Protein processing in endoplasmic reticulum	Dnajb2	K09508	1.60619757688723	Up
map04145 Phagosome	Itgb5	K06588	3.6928583825060803	Up
map04145 Phagosome	Coro1a	K13882	2.11530379110826	Up
map04145 Phagosome	H2	K06751	2.00623845350612	Up
map04145 Phagosome	H2	K06751	1.7957039097512	Up
map04145 Phagosome	Itga5	K06484	2.09828200293317	Up
map04145 Phagosome	Rab5c	K07889	1.66622973938041	Up
map04145 Phagosome	Itgav	K06487	1.96832218219249	Up
map04145 Phagosome	Sec61g	K07342	1.7797152838558603	Up
map04145 Phagosome	Tubb5	K07375	1.54061670277402	Up
map04145 Phagosome	Mrc2	K06560	9.3814119322126	Up
map04145 Phagosome	Eea1	K12478	1.5084411313308501	Up
map04145 Phagosome	Tubb6	K07375	1.8838743686976	Up
map04145 Phagosome	Tubb3	K07375	2.09946692139402	Up
map04145 Phagosome	Thbs4	K04659	65.96125613205861	Up
map04510 Focal adhesion	Itga9	K06585	3.5890440640573598	Up
map04510 Focal adhesion	Diaph1	K05740	2.64609784422606	Up
map04510 Focal adhesion	Itgb5	K06588	3.6928583825060803	Up
map04510 Focal adhesion	Pdgfrb	K05089	2.46598672245037	Up
map04510 Focal adhesion	Itga5	K06484	2.09828200293317	Up
map04510 Focal adhesion	Prkca	K02677	1.9539193984751102	Up
map04510 Focal adhesion	Vtn	K06251	1.79593384199801	Up
map04510 Focal adhesion	Map2k1	K04368	1.53031232980921	Up
map04510 Focal adhesion	Itgav	K06487	1.96832218219249	Up
map04510 Focal adhesion	Vasp	K06274	1.6377487895408502	Up
map04510 Focal adhesion	Zyx	K06273	1.99633185289967	Up
map04510 Focal adhesion	Actn1	K05699	2.23667986949927	Up
map04510 Focal adhesion	Flna	K04437	1.5770612526688599	Up
map04510 Focal adhesion	Col6a6	K06238	0.23450505244001701	Down
map04510 Focal adhesion	Flnc	K04437	1.7630769771405501	Up
map04510 Focal adhesion	Parva	K06275	1.5366476419345099	Up
map04510 Focal adhesion	Thbs4	K04659	65.96125613205861	Up
map04514 Cell adhesion molecules	Itga9	K06585	3.5890440640573598	Up
map04514 Cell adhesion molecules	H2	K06751	2.00623845350612	Up
map04514 Cell adhesion molecules	H2	K06751	1.7957039097512	Up
map04514 Cell adhesion molecules	Itgav	K06487	1.96832218219249	Up
map04514 Cell adhesion molecules	Vcan	K06793	3.9428773114826696	Up
map04514 Cell adhesion molecules	Cd34	K06474	3.22285040208306	Up
map04540 Gap junction	Pdgfrb	K05089	2.46598672245037	Up
